,Title,Abstract,Activity Code,Admin IC,Admin IC Long,Funding ICs,Agency,Appl Class Code,Appl Status Code,Appl Type Code,Active,Award Status,Appl ID,Grant Number,Full Grant Number,Serial Number,Suffix Code,Sub Project ID,Fiscal Year,Support Year,Record Index,toCurate2,isRemote,isDataGath,isIntervent,isClin,isRnD,isWear,isTele,isMobile,isHome
973,Pain and Health-Related Quality of Life in Children after Surgery,"Over 4.5 million children undergo surgery in the U.S. each year and about half of them experience moderate- severe postsurgical pain. Pain may also persist beyond the immediate postsurgical period and transition into chronic pain for some children. However, little is known about the prevalence of persistent postsurgical pain in the pediatric surgery population or of the impact of pain on children's physical functioning, health-related quality of life (HRQOL) and health service utilization. Understanding of the biopsychosocial factors that may predict a child's risk for experiencing persistent postsurgical pain and reduced HRQOL would address gaps in knowledge to allow for the future development of preventive interventions. The objective of this application is to document longitudinal trajectories of pain and HRQOL in children following surgery, and to identify individual differences that place children at risk for both acute and chronic postsurgical pain and deteriorations in HRQOL. The long-term goal of this research is to develop effective strategies to prevent persistent postsurgical pain in children. The K23 candidate is an assistant professor in the Department of Anesthesiology and Pain Medicine at the University of Washington and a pediatric anesthesiologist and pain physician at Seattle Children's Hospital. Her K23 proposal will capitalize on the wealth of resources available at the University of Washington School of Medicine and Seattle Children's Research Institute. The candidate has demonstrated commitment to a patient-oriented research career and proposes a five-year training plan with the support of faculty mentors who have expertise in pediatric pain, health services outcomes research, pediatric research ethics, and biostatistics. Through the research training plan the candidate will obtain specialized instruction in state-of-the-art pain and functional outcomes assessment tools, intervention research methodology, preventive research and mentorship in research career development. The research plan involves two studies. Study 1 will prospectively monitor pain and HRQOL before and after surgery in a large hospital-based cohort of children undergoing minor and major surgical procedures over the first month post-hospital discharge. Study 2 will prospectively measure individual differences (clinical and biopsychosocial factors) associated with change in pain and function before and over 18 months following major surgery in a smaller, well-characterized sample using state-of-the art measurement tools including daily electronic diary monitoring and ambulatory actigraphy. Preliminary data demonstrate the feasibility of the multi-method assessment plan in the perioperative and postoperative periods and ensure success in carrying out the proposed studies. Data generated from this research will be used to identify children at-risk for chronic postsurgical pain and impaired quality of life, an will guide later research to develop and test medical and behavioral interventions for at-risk youth. Completion of the proposed research and training plan will provide the candidate with necessary data and essential skills to develop into a successful independent pediatric pain researcher.",K23,HD,NICHD,HD,National Institutes of Health (NIH),G,5,5,No,Awarded,8916812,K23HD078239,K23HD078239-02,78239,,,2015,2,487,,FALSE,TRUE,FALSE,,,,,,
974,Mechanisms of Gait and Balance Impairment in Progressive Supranuclear Palsy,"Progressive supranuclear palsy (PSP) is a fatal, progressive, incurable neurodegenerative tauopathy. Falls resulting from gait and balance impairments are a cardinal feature of the disease and occur in all PSP syndromes. Currently, detection of these abnormalities relies on largely subjective clinical examination and scales. There are no standardized ways to quantify specific features of gait and balance impairments in PSP. Diagnostic, and prognostic tests focusing on patient relevant outcomes such as gait related disability are needed. Motion analysis technology can be used for objective qualification of gait and balance variables. This offers an opportunity to develop patient-centric diagnostic tools that can measure features of gait impairment and its impact on risk for falls. Laboratory-based video motion capture utilizes multiple high frequency cameras in a well calibrated controlled environment to generate a three-dimensional model of human locomotion and balance. This is considered the most accurate and reliable method of motion analysis. Our project will utilize laboratory-based motion capture to identify gait metrics that best characterize PSP Richardson syndrome, PSP-cortical and PSP-subcortical syndromes and distinguish PSP from normal controls. However, accredited motion analysis labs are not readily accessible, and require an elaborate usually expensive set-up. Body-worn motion-sensing devices offer a feasible alternative. They are cost-effective, portable, easy to use in ambulatory settings. However, it is essential to establish reliability and accuracy of these devices in specific patient populations and assess clinical significance of the data captured. Therefore, in this project we will employ a body-worn motion sensing device or inertial monitoring unit (IMU) to detect gait and balance metrics that best characterize PSP. The data from the IMU will then be compared to the motion analysis lab to establish its accuracy. Gait metrics have the potential to serve as patient-centric outcome measures in PSP. In this project we will also use these variables to analyze neurobiological mechanisms underlying gait and balance impairment in PSP. We will correlate the identified gait and balance metrics with volumetric magnetic resonance imaging (MRI), diffusion MRI (dMRI) and tractography to determine patterns of disruption of cortical and subcortical motor control systems in PSP. The effect of sex as a biologically significant variable will be assessed. Age will be a covariate to identify gait abnormalities that are specifically related to disease state and not secondary to normal aging. The outcomes of this research project will contribute to development of patient centric outcome measures, assessment of clinical heterogeneity and understanding of mechanisms of gait impairment in PSP syndromes. Future directions will include longitudinal assessment and comparative analyses across related neurodegenerative diseases to advance diagnosis and development of patient centric outcome measures for clinical trials.",K23,NS,NINDS,AG,National Institutes of Health (NIH),G,5,1,Yes,Awarded,10522661,K23NS124688,K23NS124688-01A1,124688,A1,,2022,1,509,Audie,TRUE,TRUE,FALSE,,,,,,
977,Families Improving Together (FIT) For Weight Loss,"The increasing rate of obesity has become a major public health concern with national reports indicating 40% of African American adolescents are now overweight or obese. Little is known about effective weight loss interventions in ethnic minority adolescents. In part, this is because research has shown that ethnic minorities attend fewer intervention sessions, have higher attrition rates and lose less weight compared to Caucasians. Two fundamental problems related to this lack of progress are 1) the lack of appropriate content of weight loss interventions for African American adolescents that integrate cultural issues, parenting skills, and motivational strategies for long-term change and, 2) the poor dose of weight loss interventions because of participant fatigue and drop out. Previous weight loss studies among adolescents have been of relatively long duration lasting 12-25 weeks, however, our team has developed a weight loss program that is a relatively brief (8-week brief) face-to-face intervention that integrates motivational (autonomy-support) and positive parenting skills (monitoring, social support, positive communication skills) for reducing z-BMI in overweight African American adolescents. Our team has also recently conducted a pilot study testing the feasibility of an 8-week on-line intervention that is culturally tailored fr African American families. Thus, the goal of this project is to conduct a randomized controlled efficacy trial to address the problems with past studies by 1) making the face-to-face group intervention shorter, 2) using an on-line component to compliment the group- based intervention for increasing dose, and by 3) tailoring a motivational and parenting skills program directly to parents and adolescents skill levels and cultural background. 520 overweight African American adolescents and their parents will be recruited to participate. Phase I of the trial will test the efficacy of an 8-week face-to-face group randomized trial comparing motivational plus family-based weight loss (M+FWL) to a basic health (BH) education program on reducing z-BMI and improving diet and physical activity (PA) in overweight African American adolescents. In phase II of the trial participants will be re-randomized to either an 8-week on-line intervention or a control on-line program resulting in a 2 (M+FWL vs. BH group) x 2 (intervention vs. control on-line program) factorial design. This design will allow us to test the effects of the M+FWL curriculum and the added effects of the on-line intervention component on reducing z-BMI in African American adolescents and their parents. A 6-month follow-up will examine whether adolescents in the 8-week M+FWL group plus 8-week on-line intervention program will show the greatest maintenance in reducing z- BMI. Psychosocial mediators of treatment effects will be examined as well as treatment effects related to parent changes in z-BMI and health behaviors (diet and PA).",R01,HD,NICHD,HD,National Institutes of Health (NIH),G,5,5,No,Awarded,8876750,R01HD072153,R01HD072153-04,72153,,,2015,4,489,,FALSE,TRUE,TRUE,,,,,,
981,Prescribed Exercise to Reduce Recidivism After Weight Loss,"Clinically significant weight loss (5-10%) is associated with cardiovascular health benefits for obese adults, and participation in adequate amounts of physical activity is a critical factor for weight maintenance after weight loss. However, the recommended amount of physical activity needed to promote weight maintenance is based primarily on retrospective studies that quantified physical activity levels through questionnaires which tend to overestimate physical activity levels. In addition, the present literature has provided little data on impact of these physical activity levels on cardiovascular risk factors, which may have equal or more clinical importance compared to weight changes. The purpose of the Prescribed Exercise to Reduce Recidivism After Weight Loss (PREVAIL) study is to evaluate the effect aerobic exercise training amount on weight maintenance following clinically significant weight loss in obese men and women (BMI 35-45) ages 18-65 years old. Volunteers will complete an OPTIFAST weight loss program at VIDANT Wellness Nutrition Clinic. Individuals who achieve a weight loss of at least 7% from baseline weight will be subsequently randomized to levels of aerobic training approximately half of PA recommendations (B-REC), consistent with physical activity recommendations (PA- REC), or weight maintenance recommendations (WM-REC) for 9 additional months. Exercise sessions will be directly supervised by study staff. Non-exercise physical activity will be captured through accelerometry during the entire intervention in all randomization groups and total energy expenditure will be assessed by doubly labeled water (the gold standard technique). The primary outcome of the PREVAIL study will be change in weight from the completion of OPTIFAST program (achievement of clinically significant weight loss) to the end of exercise training. Main secondary measures include proportion of participants achieving weight maintenance, changes in clinically relevant cardiometabolic risk factors (e.g. fat mass, lipids, c-reactive protein, fitness and insulin sensitivity, pulsewave velocity, augmentation index and lipoprotein particle size, and changes in quality of life) between study groups. The present study addresses a major need for research identified by both the American College of Sports Medicine and a recent NHLBI sponsored working group on weight maintenance.",R56,HL,NHLBI,HL,National Institutes of Health (NIH),G,5,1,No,Awarded,9769213,R56HL132961,R56HL132961-01A1,132961,A1,,2018,1,491,,FALSE,TRUE,FALSE,,,,,,
988,Wearable silent speech technology to enhance impaired oral communication,"The long-term objectives of this project are to obtain a deeper understanding how articulatory movement patterns are mapped to speech particularly when there is no vocal fold vibration (silent speech) and then to develop a novel, wearable assistive technology called silent speech interface (SSI) to assist the impaired oral communication for individuals in need (e.g., individuals after laryngectomy, surgical removal of larynx to treat advanced laryngeal cancer). Designed for daily use, the SSI contains a wearable magnetic device and a small camera for tongue and lip motion tracking, respectively, and an articulation-to-speech synthesizer to output natural sounding speech that preserves the speaker's voice characteristics. Specific Aims of the proposal include to (1) determine the articulatory patterns of normal (vocalized) and silent speech, produced by both healthy talkers and people after laryngectomy, (2) develop a wearable, wireless magnetic device for real-time tongue and lip motion tracking, and (3) synthesize speech from articulation directly. There are currently limited alternative communication options for people who have undergone laryngectomy. These options include esophageal speech, tracheo-esophageal speech, and use of an artificial larynx (or electrolarynx). These solutions are either invasive or difficult to use, and all of them result in a hoarse or mechanical/robotic sounding voice, which can be difficult to understand. In contrast, the SSI in this application is non-invasive, easy-to-use, and produces natural sounding speech and may even preserve the patient's voice identity. We have exciting preliminary results that support the feasibility of the project including that (1) we have recently developed a wireless magnetic device for tongue motion, and (2) we have demonstrated real- time articulation-to-speech synthesis with a 90% word accuracy (judged by a human listener). In this project, we will further reduce the size of the wireless device and make it wearable and conduct articulation-to-speech algorithms by studying 30 participants after laryngectomy and 30 age- and gender-matched healthy controls. If successful, the proposed research will enhance human health by making an impact on individuals after laryngectomy and potentially to a broader range of other speech and voice disorders. In addition, the technology will have an impact to the speech science field by providing a fist-time-ever tool for potential large- scale tongue motion data collection and have a variety of broader implications including visual feedback-based secondary language training and speech therapy, which may benefit millions of people with motor speech deficits in the United States.",R01,DC,NIDCD,DC,National Institutes of Health (NIH),G,5,1,No,Awarded,9740858,R01DC016621,R01DC016621-01A1,16621,A1,,2019,1,518,Leonie,,,,,,,,,
992,OPTIMIZING AND PERSONALIZING INTERVENTIONS FOR SCHIZOPHRENIA ACROSS THE LIFESPAN (OPAL),"- OVERALL The target population for this ALACRITY center is people diagnosed with schizophrenia, who commonly have impaired social and occupational functioning, experience persistent psychotic and mood symptoms, and are at risk for disability and premature death. We named this proposed center OPAL, after its goal of Optimizing and Personalizing interventions for people with schizophrenia Across the Lifespan. The goal of OPAL is to accelerate the adaptation, development and implementation of effective, personalized treatments in real-world settings. The specific aims of this center are as follows: 1. Create an infrastructure that supports research that tests innovative ways to optimize treatments for people with schizophrenia throughout the lifespan and that accelerates the translation of clinical research on schizophrenia to routine practice settings. 2. Conduct exploratory and pilot projects that develop, adapt, and test innovative methods to personalize treatments for schizophrenia and to make them effective and readily deployable. 3. Train scientists who will conduct translational research on services and treatments for persons with schizophrenia. The three OPAL developmental projects address important representative problems that affect people diagnosed with schizophrenia throughout the course of illness. Project 1 addresses cognitive impairments, which have been detected during the prodromal period until late life and are a key contributor to functional impairments. The project examines ways to personalize cognitive remediation and make it more accessible. The project will examine the feasibility of delivering cognitive remediation in non-clinic settings and baseline testing to tailor the intervention to individual needs. Project 2 addresses the treatment of common chronic medical conditions that are associated with considerable morbidity and premature mortality in schizophrenia. The project adapts Critical Time Intervention (CTI) to the needs of individuals with schizophrenia who are hospitalized for ambulatory care sensitive conditions and examines its preliminary effectiveness. Project 3 focuses on psychotropic medications, which are vital but poorly deployed treatments for schizophrenia. The project examines the feasibility and effectiveness of using mobile health technology and Experience Sampling Methods (ESM) to optimize psychopharmacologic regimens for individuals with first-episode psychosis. The OPAL Center will use common resources and methodologies to improve the implementation and personalization of treatments. As a complement to the quantitative data gathered in each project, we will use qualitative methods to get stakeholder input, particularly on techniques to maximize engagement in treatment, and to refine and adapt interventions for effective implementation in real-world settings.",P50,MH,NIMH,MH,National Institutes of Health (NIH),G,5,1,No,Awarded,9486324,P50MH115843,P50MH115843-01,115843,,,2018,1,520,Leonie,,,,,,,,,
1010,Text2Breathe: Enhance Parent Communication to Reduce Pediatric Asthma Disparities,"Chronic diseases, such as asthma, disproportionately affect African American (AA) children. A key recommendation of the National Asthma Education and Prevention Program (NAEPP) Guidelines for the Diagnosis and Management of Asthma is partnership between healthcare providers and patients (and their parents, for children). Facilitating parents' open communication with providers regarding healthcare status and concerns can equip them to more effectively partner with their child's primary care provider (PCP). Thus, improving the health communication skills of African American (AA) parents could improve parent's adherence to treatment recommendations including utilization of the primary care for asthma care, and ultimately improve their child's asthma health outcomes. Our team recently completed a randomized controlled trial of an in- person health communication intervention that resulted in more partnerships with PCPs for asthma care and lower urgent care usage, but effects were not sustained past 2 months post-intervention. Mobile technology, such as Short Message Service (SMS, ""text messaging""), is a low-cost means of extending the dosage and scope of this intervention and may be particularly useful among AAs, for whom the use of SMS is widespread. The proposed study involves a SMS-enhanced healthcare communication intervention (Text2Breathe) designed to equip urban, low-income AA parents with tools/techniques to empower parents to more effectively communicate with their children's PCP. 268 AA parents of children attending an emergency department asthma education clinic will be randomized to usual care or Text2Breathe. The Text2Breathe group will receive ongoing individualized text messages providing instruction about asthma care communication during the year- long intervention period. Outcome data on parental self-efficacy and outcome expectations, adherence to asthma care treatment recommendations (e.g., primary care utilization), and child asthma outcomes will be collected via structured telephone interviews at 3, 6, 12, 18, and 24 months post-enrollment. This trial can reduce pediatric health disparities by verifying the efficacy of a SMS-enhanced healthcare communication intervention that can extend to other chronic conditions and have health and policy implications.",R01,MD,NIMHD,MD,National Institutes of Health (NIH),G,5,5,No,Awarded,9065943,R01MD007740,R01MD007740-03,7740,,,2016,3,529,Pablo,FALSE,TRUE,FALSE,,,,,,
1023,Impacts of Later High School Start Times on Adolescent Weight and Weight-Related Behavior,"Although the National Sleep Foundation recommends 8.5 to 9.25 hours of sleep per night for adolescents, more than half of US 16-year-olds regularly get less than seven hours. ""Sleep debt"" has consequences that extend far beyond hampering day-to-day functioning as it is deleterious to multiple areas of physical and mental health. In the context of the obesity epidemic, which has had a far-reaching public health impact, sleep insufficiency is emerging as a potentially important and novel risk factor for the development of excess weight gain and weight gain-related behaviors. While a variety of forces such as screen time, homework expectations, and other factors can be implicated in stymying American teenagers' sleep, research has shown that early high school start times, which are asynchronous with adolescent biology, are one of the most significant obstacles to youth being able to net sufficient sleep. When children begin puberty, circadian rhythms shift such that melatonin is secreted later in the evening making it difficult to fall asleep before 11pm. This neurobiological change means that adolescents who attend ""early-start"" (prior to 8:30am) high schools, even those who strive for an early bedtime, will struggle to get sufficient sleep. Natural experiments have clearly shown that later school starts allow adolescents a greater opportunity to accumulate adequate sleep, but unfortunately 86% of US schools start before 8:30am. We hypothesize that later start times, an established effective sleep intervention, may promote weight-related health. Given that adolescence is a critical age that sets the stage for long-term obesity risk behavior patterns, there is an urgent need to understand the obesity-related implications of increased sleep as a result of intervention and policy changes. Presently there is a unique opportunity to study a community- based natural experiment in school start time policy modification. A Minneapolis-St. Paul, MN metro area school district, will be shifting the start tim of its high school from 7:30am to 8:30am in Fall 2016. We propose to collect data on student weight and related risks (via survey, objective weight and height measurement, and sleep actigraphy) before and after this change in this district and high school students in a comparison district which will not be altering its 7:30am high school start time. This research is time-sensitive as baseline, pre-policy measures must be collected before the end of the 2015/16 school year. Our specific aims are: 1) Determine how a shift to a later high school start time relates to objectively measured weight change over time. 2) Identify the relationship between school start times and obesity-related behaviors over time. We have an additional exploratory aim to assess barriers and facilitators associated with implementing later high school start times via stakeholder interviews. The products of this research will have public health impact because they will clarify causal connections between sleep and obesity among adolescents as well as provide evidence for whether a school policy can minimize unhealthy weight gain. If effective, later school start times, a policy deployable in communities across the US, could help prevent excess weight gain in youth.",R01,HD,NICHD,HD,National Institutes of Health (NIH),G,5,1,No,Awarded,9137059,R01HD088176,R01HD088176-01,88176,,,2016,1,512,,FALSE,TRUE,FALSE,,,,,,
1039,Active for Life: Chronic Obstructive Pulmonary Disease,"Physical inactivity is a growing health problem in the United States, especially for older people with chronic diseases such as COPD; in fact people with COPD are among the least active. Low levels of PA are associated with negative health outcomes including an increase in mortality and COPD exacerbations. Current PA guidelines focus on moderate-to-vigorous physical activities (MVPAs) that are too strenuous and not feasible for long term maintenance in many people with COPD. We propose a new paradigm for promoting physical activity (PA) in this population; focus on increasing time spent in light physical activity (LPA) and decreasing time spent in sedentary behavior. Growing evidence suggests that substantial health benefits are associated with increases in the volume of LPA. We propose to test the efficacy of our Active-for-Life (Active- Life) intervention and to quantify the mediating effects of potential mechanisms responsible for therapeutic outcomes. Our central hypothesis is that Active-Life will have positive effects on objectively measured PA. Active-Life is a 10 week intervention designed to increase total PA with an emphasis on increasing the time spent in LPA and decreasing sedentary time. Key components of Active-Life include (a) exercise with functional circuit training (FCT), walking and stretching in a laboratory-based exercise program that can easily be transitioned to the home setting with minimal equipment, (b) a behavioral component with a structured self- efficacy enhancing intervention that includes self-regulations strategies, (c) education that addresses the distinct health benefits of LPA and MVPA, the negative consequences of too much sedentary time, and an action plan for dealing with acute exacerbations of COPD and (d) follow-up with phone coaching and booster sessions. Active-Life establishes a goal for subjects, to increase total PA, combined LPA and MVPA, at least 60 minutes a day. This far exceeds the effects of other published PA interventions for people with COPD and if successful will advance PA science in clinically important ways. The Active-Life program was developed by Dr. Larson and through a series of preliminary studies; its feasibility is well established and preliminary data are promising. We propose to conduct a randomized controlled trial comparing Active-Life against an active control. We will enroll 183 people with moderate to very severe COPD. Outcomes will be measured at baseline, end of the 10 week intervention and at 3, 6 and 12 months after the end of the intervention. The primary dependent variables are objectively measured PA and sedentary behavior, measured with ActivPAL and Actigraph accelerometers simultaneously. Secondary outcome measures are indicators of frailty: 6-minute distance walk, isometric strength of knee flexors and extensors, Short Physical Performance Battery and self- reported physical function. Potential mediators include barriers-efficacy for PA and outcome expectations for PA. Innovations include the focus on LPA, objective measures of PA 24/7 and the use of FCT in COPD. This application is in response to NIH FOA PA-14-344 self-management for health with chronic conditions.",R01,NR,NINR,NR;OD,National Institutes of Health (NIH),G,5,1,No,Awarded,9235701,R01NR016093,R01NR016093-01A1,16093,A1,,2017,1,520,,FALSE,FALSE,TRUE,,,,,,
1046,Unassisted Blood Pressure Monitoring Using Arterial Tonometry and Photoplethysmography,"We propose a tonometry based solution to the problem of inexpensive, unencumbering and non- invasive measurement of blood pressure. The proposed solution will be useful in clinical as well as ambulatory blood pressure measurements. Specifically, we propose to develop a large (1cm x 5cm) two-dimensional array of pressure sensors with 0.2mm spacing (24x128 pressure-sensing elements), together with robust signal processing algorithms with a feedback controlled band-tightening mechanism in order to measure blood pressure at the wrist. The pressure sensor array together with a photoplethysmogram (PPG) sensor will be embedded in a band, and will provide signals through a multiplexed circuit designed. Signal conditioning techniques will be used to get the large amount of data in the form that can be efficiently processed on a microcontroller. The proposed two-dimensional array of pressure sensors will be built using flexible plastic and micro-fabrication techniques. The increased size of the sensor array will ensure proper contact and pressure application with arteries in the wrist for tonometric measurement of BP. The signals generated from the sensor array will be processed through advanced signal processing and optimization techniques to handle the huge amount of data and to mitigate noise. The PPG signals will be used at the wrist to improve the efficiency and accuracy of the system. The sensor array system will be embodied in the form of a band, which will be integrated in a wearable device such as smartwatch. The capabilities of the smartwatch will be used for data processing and analytics. a) Design, develop, and test a two-dimensional pressure sensor array on a polyimide flexible substrate b) Process large amount of analog data from sensor array using signal conditioning and processing techniques to generate blood pressure estimates c) Design a user friendly prototype form factor, and perform a clinical trial to validate device performance The engineering members of our multidisciplinary team have specialized in cardiac instrumentation, signal and image processing for medical applications, pressure and touch sensors, signal processing and robust optimization. The team members with clinical expertise have been engaged in blood pressure trials in US, and have been working with leading institutions in India engaged in cardiovascular research. This proposal brings together their unique expertise and experience to innovatively address this challenging problem through a joint effort.",U01,EB,NIBIB,EB,National Institutes of Health (NIH),G,5,1,No,Awarded,8936340,U01EB020589,U01EB020589-01,20589,,,2015,1,547,Tom,FALSE,TRUE,TRUE,,,,,,
1064,Optimizing a self-directed mobile mindfulness intervention for improving,"As survival has improved for the 2 million people with cardiorespiratory failure managed annually in US intensive care units (ICUs), it has become apparent that these patients suffer from severe and persistent post-discharge symptoms of psychological distress including depression, anxiety, and post- traumatic stress disorder (PTSD). However, few targeted interventions exist that are relevant to patients' experiences and that accommodate their many physical, social, and financial barriers to personalized care. To fill this gap, we developed an innovative app-based mobile mindfulness training program that promotes automated care delivery and self-management of symptom-related distress. Subsequently, we conducted a pilot randomized clinical trial (RCT) called the LIFT study (R34 AT00819) that compared mobile mindfulness to both a standard telephone mindfulness program and an ICU education control among survivors of cardiorespiratory failure. We found that mobile mindfulness was feasibly delivered, acceptable, usable, and had a greater clinical impact on psychological distress than either comparator. This trial also highlighted opportunities to improve the intervention's impact related to its targeted population, content delivery, and system technology. To address these gaps, we propose a 5-year project that is conceptualized as the Optimization Phase of a multiphase optimization study (MOST) framework. We will optimize mobile mindfulness with four specific aims: (1) Optimize the usability of key technological elements of mobile mindfulness; (2) Using a factorial experimental design, identify which intervention components contribute most meaningfully to feasibility, usability, and impact on psychological distress; (3) Explore barriers and facilitators to intervention implementation; and (4) Using a mixed methods approach and data from Aims 2 & 3, refine, update, and operationalize the final mMT intervention system. At the conclusion of this U01 involving 320 cardiorespiratory failure survivors, we will deliver a mobile mindfulness system fully optimized for usability, efficiency, scalability, and clinical impact that will be off-the-shelf ready for a next-step definitive RCT-and can serve as a model for distance-based mind and body interventions. Innovative elements of our U01 proposal include its paradigm-shifting automated stepped therapy approach and its easily disseminatable mobile app delivery system-attributes that could allow seamless, inexpensive population-level scaling of mMT and other mind-body therapies. This study addresses research priorities on distress symptoms, personalized precision medicine, and self- management outlined by the National Institutes of Health and numerous professional societies. Our proven research network has the experience to conduct this U01 project that could advance the field with a personalizable therapy that fills an important clinical care gap for a growing population.",U01,AT,NCCIH,AT;OD,National Institutes of Health (NIH),G,5,1,No,Awarded,9574318,U01AT009974,U01AT009974-01,9974,,,2018,1,556,Audie,FALSE,FALSE,TRUE,,,,,,
1096,Novel methods and devices to deliver substitution therapy in addiction,"Current treatment options for addiction do not sufficiently address the clinical needs of patients. Due to low efficacy, misaligned treatment objectives, or lack of accessibility, patients are not able to durably abstain from substances or reduce their use to safer levels. Substitution therapy (ST) is a proven treatment approach and has resulted in massive global public health benefits for tobacco use disorder and opioid use disorder; however, the potential impact of ST is limited by concerns for causing more widespread harms. Thus substitution therapy is either underutilized or underexplored in other addictions due to risks of abuse, misuse, and diversion. Through implementing safe prescribing systems, health systems have solved for the provision of existing ST like methadone and buprenorphine. Nevertheless, there remains significant potential for broader access to current and novel ST treatments by utilizing advancement in software and hardware technology. Atman Therapeutics is an early-stage company seeking to develop novel therapeutics in addictive disorders. We are developing a platform to enable increased access to as well as novel development of ST. To achieve this objective, our platform uses cutting-edge machine learning methods, patient-centered research, and sophisticated hardware technology. Our technology will also enable the concurrent delivery of contingency management services, thus creating safe, engaging, and durably effective treatments for these complex neurobehavioral disorders. This Small Business Innovation and Research (SBIR) project aims to establish the feasibility of machine learning and integrated sensor technologies to confirm medication adherence in a diverse sample of patients. We will develop a deep-learning algorithm utilizing a feed-forward convolutional neural network (CNN), such as ResNet- 50, U-NET, PCU-Net, to enact classification of medication ingestion events. We will also demonstrate the feasibility of integrating a hardware microcontroller unit with multi-dimensional MEMS sensors into a device that can classify ingestion events in a highly sensitive and specific manner. These efforts will demonstrate the early feasibility of the Atman platform and form the basis for regulated development efforts of ST-enabling products and services.",R43,AA,NIAAA,AA,National Institutes of Health (NIH),G,5,1,Yes,Awarded,10325846,R43AA029964,R43AA029964-01A1,29964,A1,,2021,1,572,Audie,TRUE,FALSE,FALSE,,,,,,
1112,Precision Cardiac CT: Development of a Computational Platform for Optimizing Imaging,"Coronary artery disease (CAD) is the leading cause of death in the US. Medical imaging is integral to the diagnosis and management of CAD fueling the development of new technologies and applications. However, imaging of the heart continues to be a challenging task. There is always a degree of temporal blur or motion artifact, the impact and documented limitations of which remain uncertain. Additionally, patient body habitus and technical limitations may contribute to high noise and degrade spatial resolution. For imaging modalities involving ionizing radiation like CT, radiation dose is also an ever-present reality that needs to be minimized without compromising image quality. Clinical trials are the best avenue for the evaluation of imaging technologies, but the ever-expanding number of technologies and parameters make a trial for every application or protocol unfeasible, pragmatically and financially. As a result, medical imaging researchers, industry, and the FDA are increasingly moving toward computerized simulations or 'virtual trials'. Virtual trials involve the use of computational tools to perform experiments entirely on the computer. Realistic patient models or phantoms are combined with validated imaging simulations to emulate imaging examinations and patient conditions. These can subsequently be used to ascertain how differing patient attributes and imaging conditions impact dose, image quality, and depiction of pre-defined known conditions. The findings can be used to prescribe specific imaging protocols and optimal scan parameters that are customized to individual patient anatomy to provide a sufficient degree of certainty for effective clinical decision-making. The goal of this project is to develop, validate, and distribute to the research community a computational platform (including a series of anatomically variable phantoms with realistic finite-element cardiac models, accurate models for modern imaging devices, and a suite of image quality metrics) to perform virtual trials in dynamic cardiac imaging. The virtual framework can be extended to any number of cardiac conditions, imaging modalities, and technologies. As a first case study in our long-term strategy, the focus of this project is on CT as it has both a great need for and great potential to provide high spatial and temporal resolution for the optimized evaluation of CAD. If CT image quality is not optimal, the evaluation of CAD, particularly the degree of stenosis and characterization of high-risk plaque features, may be compromised. The tools we develop will provide the first practical platform to characterize the precise impact of the technical aspects of CT on image quality over a wide range of patient anatomies with the view to enable optimal visualization of cardiac conditions at the lowest possible radiation dose for a given patient. The approach has great potential to significantly improve clinical investigations of heart disease, extending beyond CT imaging and CAD, paving the way towards faster translation of new cardiac imaging technologies into the clinic and more precise and personalized patient management.",R01,HL,NHLBI,HL,National Institutes of Health (NIH),G,5,1,No,Awarded,9240231,R01HL131753,R01HL131753-01A1,131753,A1,,2017,1,580,Audie,TRUE,FALSE,FALSE,,,,,,
